episode,reward,length,win
1146,104.2000,31,0
1147,842.6000,204,0
1148,197.6000,30,0
1149,306.7000,47,0
1150,810.2000,155,0
1151,658.7000,75,0
1152,706.9000,92,0
1153,192.0000,27,0
1154,98.4000,16,0
1155,707.1000,107,0
1156,101.7000,17,0
1157,853.8000,180,0
1158,891.7000,180,0
1159,500.9000,73,0
1160,439.4000,74,0
1161,730.1000,106,0
1162,515.2000,63,0
1163,819.3000,147,0
1164,159.0000,24,0
1165,795.3000,103,0
1166,666.4000,80,0
1167,73.1000,15,0
1168,918.5000,208,0
1169,341.3000,47,0
1170,807.9000,200,0
1171,394.9000,52,0
1172,1039.0000,581,0
1173,1049.7000,250,0
1174,166.3000,25,0
1175,871.0000,138,0
1176,209.9000,30,0
1177,381.2000,50,0
1178,322.9000,47,0
1179,137.7000,20,0
1180,676.6000,91,0
1181,899.7000,143,0
1182,914.6000,141,0
1183,892.6000,303,0
1184,178.2000,26,0
1185,995.4000,257,0
1186,965.1000,212,0
1187,503.2000,60,0
1188,413.4000,53,0
1189,191.3000,25,0
1190,832.1000,128,0
1191,353.5000,43,0
1192,215.8000,34,0
1193,69.6000,13,0
1194,214.4000,34,0
1195,489.7000,61,0
1196,494.0000,60,0
1197,494.8000,61,0
1198,57.4000,14,0
1199,598.1000,73,0
1200,935.8000,156,0
1201,233.8000,38,0
1202,473.1000,55,0
1203,545.0000,69,0
1204,950.0000,176,0
1205,180.0000,24,0
1206,576.8000,69,0
1207,240.3000,35,0
1208,566.2000,71,0
1209,494.1000,91,0
1210,356.4000,55,0
1211,696.8000,107,0
1212,1002.9000,233,0
1213,259.7000,36,0
1214,144.5000,21,0
1215,623.9000,70,0
1216,943.5000,203,0
1217,894.6000,148,0
1218,955.2000,798,0
1219,864.5000,169,0
1220,689.1000,94,0
1221,843.0000,258,0
1222,1075.0000,305,0
1223,778.9000,101,0
1224,859.1000,133,0
1225,129.0000,19,0
1226,411.2000,49,0
1227,76.4000,14,0
1228,414.0000,51,0
1229,890.3000,122,0
1230,357.9000,62,0
1231,202.1000,34,0
1232,929.4000,175,0
1233,895.2000,184,0
1234,493.3000,70,0
1235,738.4000,86,0
1236,775.8000,98,0
1237,866.7000,171,0
1238,895.1000,116,0
1239,594.8000,70,0
1240,818.6000,100,0
1241,875.9000,276,0
1242,474.7000,59,0
1243,924.7000,130,0
